X,Y,Z,H,S,L,R,G,B
-0.2735923,-0.01960784,-0.6744831,0.06133077,0.728,0.4901961,0.8470588,0.3960784,0.1333333
-0.231602,-0.4823529,-0.6501434,0.05446537,0.7878788,0.2588235,0.4627451,0.1882353,0.05490197
-0.2275589,-0.2862745,-0.6899494,0.05070436,0.7582418,0.3568628,0.627451,0.2509804,0.0862745
-0.2691292,0.09411764,-0.7045612,0.05807201,0.7575758,0.5470588,0.8901961,0.4431373,0.2039216
-0.3153835,0.05490196,-0.6894829,0.06827867,0.7593362,0.527451,0.8862745,0.462745,0.1686274
-0.2637489,-0.04313725,-0.6706404,0.05963521,0.7213115,0.4784314,0.8235294,0.3803921,0.1333333
-0.2125595,-0.4352941,-0.6671824,0.04908751,0.7777778,0.282353,0.5019608,0.1921569,0.06274509
-0.03128115,0.0862745,-0.3191589,0.0155493,0.3218884,0.5431373,0.6901961,0.4235294,0.3960784
-0.09378853,0.1019608,-0.2755264,0.05221793,0.2925764,0.5509804,0.682353,0.5019608,0.4196078
-0.07042506,0.1490196,-0.2214713,0.049,0.2350231,0.5745098,0.6745098,0.5333334,0.4745098
-0.3405342,-0.05490196,-0.6117994,0.08083551,0.7012448,0.472549,0.8039216,0.4627452,0.1411765
-0.3597539,-0.5215687,-0.5502179,0.09216175,0.7704918,0.2392157,0.4235294,0.2588236,0.05490196
-0.3847226,0.02352941,-0.6540685,0.08462225,0.7590362,0.5117647,0.882353,0.5176472,0.1411764
-0.05820351,0.3411765,-0.2964835,0.03085181,0.3214286,0.6705883,0.7764706,0.6039215,0.5647059
