PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255)
-0.2828858,0.03921568,-0.6818545,0.06259011,0.7387756,0.5196078,223,110,41
-0.6549042,-0.1294118,-0.7445489,0.1148189,1,0.4352941,222,153,0
0.1003962,0.5450981,0.1588432,0.5897077,0.2241379,0.772549,184,196,210
-0.2840024,0,-0.6846059,0.06258518,0.7411765,0.5,222,103,32
-0.02473176,0.2196078,0.04792139,0.4241727,0.05527638,0.6098039,149,161,156
-0.04377799,0.7686274,-0.08720957,0.07404449,0.1525424,0.8843137,230,225,220
0.0123457,0.4039216,-0.03393428,0.9444667,0.03947369,0.7019608,182,176,178
0.09515455,0.7098039,0.1648923,0.5833,0.2702703,0.854902,208,218,228
-0.05355351,0.8392158,-0.1066833,0.07404449,0.2195122,0.9196079,239,234,230
-0.6082066,-0.2039216,-0.7671379,0.1066897,1,0.3980392,203,130,0
0.009969354,0.1921569,-0.1998354,0.9920667,0.2038835,0.5960785,173,131,133
0.07502401,0.4352942,4.71468E-05,0.7499,0.08333334,0.7176471,183,177,189
-0.06724592,-0.2823529,-0.1000744,0.09416524,0.1256831,0.3588235,103,93,80
-0.6614604,-0.02745098,-0.6380019,0.1278728,0.9193548,0.4862745,238,185,10
-0.6424528,-0.1058823,-0.7589751,0.1117974,1,0.4470588,228,153,0
-0.07050887,0.6588235,-0.1673412,0.06346672,0.2413793,0.8294117,222,209,200
0.01484434,0.5333333,-0.1199284,0.9804,0.1428571,0.7666667,204,186,188
-0.209227,0.1333333,-0.4516712,0.06904145,0.5022624,0.5666667,200,135,89
-0.06196703,0.7450981,-0.1181238,0.07689229,0.2,0.8725491,229,222,216
-0.6538836,-0.1098039,-0.7369176,0.1155093,0.9911895,0.445098,226,157,0
-0.1616483,0.4862745,-0.1494062,0.1312606,0.2519084,0.7431372,206,199,172
-0.04277565,-0.007843137,-0.06172302,0.09645267,0.07509883,0.4960784,136,128,117
-0.1803955,0.0196079,-0.06563006,0.1944667,0.192,0.509804,145,154,106
-0.1513281,0,-0.05432696,0.1951439,0.1607843,0.5,141,148,107
-0.1435438,0.8392158,-0.2071263,0.09645267,0.4634146,0.9196079,244,236,225
-0.1453085,-0.06274509,-0.3780971,0.05839591,0.4058577,0.4686275,168,105,71
-0.05308126,0.4784315,-0.09889662,0.07840002,0.1278196,0.7392157,197,188,180
-0.1030803,0.3960785,-0.08112355,0.1438818,0.1428572,0.6980392,189,186,167
0.106525,0.6784314,0.1658396,0.5908727,0.2682927,0.8392157,203,213,225
-0.1021185,0.082353,-0.00445682,0.2430583,0.1025641,0.5411765,139,150,126
-0.6248941,-0.05490196,-0.7248946,0.1132303,0.9585062,0.472549,236,162,4
0.02030876,0.482353,0.04905151,0.562475,0.06060607,0.7411765,185,190,193
-0.6196354,-0.08235294,-0.7365586,0.1113124,0.965812,0.4588235,230,155,3
0.1051585,0.6862745,0.1253942,0.6110666,0.225,0.8431373,206,212,224
0.1097315,0.6941177,0.1708314,0.5908727,0.2820513,0.8470588,205,215,227
-0.09734422,0.7294118,-0.137586,0.09800004,0.2463768,0.8647059,229,222,212
-0.0317966,0.4156864,-0.1865359,0.02687103,0.2080537,0.7078432,196,170,165
0.05963093,0.3176471,0.04758913,0.6428,0.08045977,0.6588235,161,163,175
-0.07203393,0.5137255,-0.3947833,0.02872413,0.4677419,0.7568628,222,174,164
-0.6172503,-0.2156863,-0.7439807,0.1102253,0.99,0.3921569,199,132,0
0.01466784,0.8666667,-0.02541774,0.9167,0.05882353,0.9333333,239,237,238
-0.3047786,-0.5607843,-0.113627,0.1932045,0.3928571,0.2196079,71,78,34
0.03576808,0.3764706,0.09236864,0.5588,0.1069182,0.6882353,166,178,184
0.1038399,0.427451,0.1540278,0.5944067,0.2054795,0.7137255,167,180,197
-0.06019989,0.8705883,-0.1199234,0.07404449,0.2727273,0.9352942,243,238,234
-0.7495069,0.1450981,-0.6458994,0.1367954,1,0.572549,255,216,37
